ID,Name,Source,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,StartDate,EndDate,Status,All,Productgroup,SortID,GM,Link,Facility,"A.1| ""All items""",ProductLineID,ProductgroupID,ColorID,ClassID,NameID,Lock,Year (start day)
177,Cup-Shaped Race (177-A),User,10,Black,900,4545,8,L,M,40,1,Mountain,8,M,U,Cup 177,https://www.pushys.com.au/media/catalog/product/cache/5ac4e4ad447fecc0a8694a493d78cc80/c/e/ceramicspeed-15267-standard-single-bearing-5711050000579.jpg,<p>Most bicycle b<strong><u>all bearings consist of a cup-shaped and a cone-shaped race is changed</u></strong></p>,7/01/2003 0:00,,✅,All,Mountain,,-2,https://acterys.com/write-back-planning-in-power-bi,France,All items,4,2,3,1,69,1,2003
178,Cone-Shaped Race (178),User,5,Black,1000,750,5,M,XL,40,1,Mountain,5,M,U,Cone X-100,"https://images.bicyclesonline.com.au/assets/full/ESMBB52B.jpg?20220427143203&tr=w-750,h-462,cm-pad_resize,bg-FFFFFF",I am just updating it to new value and changing the old one,7/01/2003 0:00,,😐,All,Active,,0,https://acterys.com/write-back-planning-in-power-bi,France,All items,4,4,3,1,70,1,2003
179,Reflector (192),User,5,Red,2000,750,5,XXL,Unisize,200,1,Mountain,5,M,U,Reflector,https://i.ebayimg.com/00/s/MTAwMFgxMDAw/z/7XoAAOSwI7Fb72pA/$_3.JPG,Nice reflector in rugged design,7/01/2003 0:00,,✅,All,Active,,0,https://acterys.com/write-back-planning-in-power-bi,France,All items,4,4,1,1,33,1,2003
181,ML Mountain Rim (181),User,5,Blue,800,600,6,M,Unisize,400,3,Road,6,M,U,Rim,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlgxucyFISFFkylN5RMKcTT3eQaYL-ZfLtXA&usqp=CAU,"""Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetu",7/01/2003 0:00,,Current,All,Active,,1,https://acterys.com/write-back-planning-in-power-bi,USA,All items,3,4,2,1,46,1,2003
204,Steerer (204),User,5,Blue,500,375,6,M,Unisize,40,1,Mountain,6,H,U,Mountain Socks,https://cdn.shopify.com/s/files/1/0532/4177/products/1d6d5d5b00254e7cf4fd648d25e89cda_900x.jpg?v=1628386244,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,7/01/2003 0:00,,Current,All,Active,,1,,France,All items,4,4,2,3,16,,2003
218,"Mountain Bike Socks, M (218)",User,5,Blue,4,3,6,M,M,80,4,Mountain,6,H,U,Mountain Bike Socks,https://p.vitalmtb.com/photos/products/22711/photos/34336/s1600_47700_5921_ION_Protection_BD_SOCK_20_black.jpg?1524132219,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,7/01/2011 0:00,28/12/2007 0:00,~,All,Active,,1,,France,All items,4,4,2,3,43,,2011
223,AWC Logo Cap (223),User,5,Black,4,3,5,Unisize,Unisize,40,6,Sport,5,H,U,Cycling Cap,"https://image.spreadshirtmedia.com/image-server/v1/mp/products/T129A2MPA220PT26X34Y1D1017368806FS2002/views/1,width=378,height=378,appearanceId=2,backgroundColor=F2F2F2,modelId=1705,crop=list,version=1552632396,modelImageVersion=1534228056/life-behind-bars-mountain-biking-baseball-cap.jpg",Traditional style with a flip-up brim; one-size fits all.,7/01/2011 0:00,28/12/2007 0:00,🌏,All,Adventure,,0,,Austria,All items,2,3,3,3,74,,2011
236,"Long-Sleeve Logo Jersey, XL (236)",User,26,Blue,4,3,29,XL,XL,40,9,Sport,29,H,U,Long-Sleeve Logo Jersey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7vBokNr47YUd4JwNYpDI8gB-j7ISgyzZz6g&usqp=CAU,Unisex long-sleeve AWC logo microfiber cycling jersey,7/01/2012 0:00,27/12/2008 0:00,😊,All,Adventure,,3,,Austria,All items,2,3,2,3,51,,2012
310,"Road-150 Red, 62 (310)",User,1932,Blue,100,75,2147,62,60-62 CM,12000,4,Road,2147,H,U,Road-150,https://demos.componentone.com/ASPNET/AdventureWorksMVC/ProductImage.ashx?ProductID=753&size=large,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",7/01/2011 0:00,28/12/2007 0:00,🤮,All,Active,,215,,USA,All items,3,4,2,3,27,,2011
311,"Road-150 Red, 44 (311)",User,1932,Blue,50,100,2147,44,42-46 CM,15000,4,Mountain,2147,H,U,Road-150,https://demos.componentone.com/ASPNET/AdventureWorksMVC/ProductImage.ashx?ProductID=753&size=large,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",25/01/2011 0:00,28/12/2007 0:00,~,All,,,215,,France,All items,4,,2,3,31,,2011
312,"Road-150 Red, 48 (312)",User,1932,Blue,50,75,2147,48,48-52 CM,15000,4,Road,2147,H,U,Road-150,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9zwB_V3jXdYj5U5fbJvD6cPlsNiFGJOtpuQ&usqp=CAU,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",7/01/2011 0:00,28/12/2007 0:00,😊,All,Active,,215,,USA,All items,3,4,2,3,30,,2011
313,"Road-150 Red, 52 (313)",User,1932,Blue,20,70,2147,52,48-52 CM,15000,4,Road,2147,H,U,Road-150,https://demos.componentone.com/ASPNET/AdventureWorksMVC/ProductImage.ashx?ProductID=753&size=large,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",7/01/2011 0:00,28/12/2007 0:00,✅,All,Active,,215,,USA,All items,3,4,2,3,29,,2011
314,"Road-150 Red, 56 (314)",User,1932,Blue,50,75,2147,56,54-58 CM,15000,4,Road,2147,H,U,Road-150,https://demos.componentone.com/ASPNET/AdventureWorksMVC/ProductImage.ashx?ProductID=753&size=large,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",7/01/2011 0:00,28/12/2007 0:00,✅,All,Active,,215,,USA,All items,3,4,2,3,28,,2011
315,"Road-450 Red, 58 (315)",User,788,Blue,50,75,875,58,54-58 CM,15000,4,Road,875,M,U,Road-450,https://demos.componentone.com/ASPNET/AdventureWorksMVC/ProductImage.ashx?ProductID=753&size=large,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",7/01/2011 0:00,28/12/2007 0:00,✅,All,Active,,87,,USA,All items,3,4,2,1,25,,2011
340,"Road-650 Black, 48 (340)",User,377,Blue,50,75,419,48,48-52 CM,15000,4,Road,419,L,U,Road-650,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9zwB_V3jXdYj5U5fbJvD6cPlsNiFGJOtpuQ&usqp=CAU,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",7/01/2011 0:00,28/12/2007 0:00,✅,All,Active,,42,,USA,All items,3,4,2,2,23,,2011
345,"Mountain-100 Silver, 42 (345)",User,1836,Blue,100,100,2040,42,42-46 CM,15000,4,Mountain,2040,H,U,Mountain-100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEHNGDbTlk2SwVtGEKUg529vqmqG_xFaAmFw&usqp=CAU,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",7/01/2011 0:00,28/12/2007 0:00,~,All,Active,,204,,France,All items,4,4,2,3,40,,2011
351,"Mountain-100 Black, 48 (351)",User,1823,Blue,100,75,2025,48,48-52 CM,15000,4,Mountain,2025,H,U,Mountain-100,https://demos.componentone.com/aspnet/adventureworks/ProductImage.ashx?ProductID=784&size=large,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",7/01/2011 0:00,28/12/2007 0:00,✅,All,Active,,202,,France,All items,4,4,2,3,41,,2011
366,"Mountain-300 Black, 44 (366)",User,583,Blue,100,100,648,44,42-46 CM,15000,4,Mountain,648,M,U,Mountain-300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEHNGDbTlk2SwVtGEKUg529vqmqG_xFaAmFw&usqp=CAU,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,7/01/2012 0:00,27/12/2008 0:00,??,All,Active,,65,,France,All items,4,4,2,1,39,,2012
371,"Road-250 Red, 58 (371)",User,1178,Blue,50,75,1309,58,54-58 CM,15000,4,Road,1309,H,U,Road-250,https://demos.componentone.com/ASPNET/AdventureWorksMVC/ProductImage.ashx?ProductID=753&size=large,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,131,,USA,All items,3,4,2,3,26,,2012
383,"Road-550-W Yellow, 40 (383)",User,540,Blue,100,100,600,40,38-40 CM,15000,4,Sport,600,M,W,Road-550-W,https://www.acterys.com/wp-content/uploads/2020/11/frame.png,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",17/01/2012 0:00,27/12/2008 0:00,✅,All,,,60,,Austria,All items,2,,2,1,24,,2012
394,LL Headset (394),User,19,Blue,500,400,21,Unisize,Unisize,300,1,Accessories,21,L,W,LL Headset,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmhuXMc69acievyeXuGrNZSWocvtfjvwVyxQ&usqp=CAU,Threadless headset provides quality at an economical price.,7/01/2012 0:00,27/12/2008 0:00,❌,All,Accessory,,2,,Vietnam,All items,5,5,2,2,58,,2012
397,LL Mountain Handlebars (397),User,22,Blue,500,375,24,Unisize,Unisize,300,1,Mountain,24,L,W,LL Mountain Handlebars,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAPgAAADLCAMAAAB04a46AAABC1BMVEX///8AAAAVFRMTExHCwsIRExITExPGxsbo6Oj7+/vz8/MQEA739/fZ2dnt7e3Nzc3i4uLT09MYGBh2dnS8vLyxsbFcZGlwcHBUVFR+fn2jo6M8PDseHhyFhYWVlZWvr6+enp5HR0clJSQcHBwfHxsPEAk2NzJlZWQwMjFLUFV+iJEzODyXpK+hrblxeoA+QkYAAAXQ4uuxv8oFERQICAAcHRQqKyY8PTctLzNfZnFOTkxjZF9cWVhtdnyOmaWltsWfsLdGSk8VGiAYEwkkIyjM1dzM19zW5+28zthtcn7t9v1TXmi1v8m1xNdJTVaPlprg8/rn/P8jJzJebXLK2+3W5PZ7h5UwOEK4yMriBLbGAAAK6klEQVR4nO2cC1vayhaGWQHCZeQWINzCLTElgZAIzW7RAwhuUQp0Y7e2u///l5w1wVZt6alogLDPvA8B5QmZWfPNZc3KTHw+BoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYD",All-purpose bar for on or off-road.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,2,,France,All items,4,4,2,2,57,,2012
403,LL Road Handlebars (403),User,22,Blue,500,375,24,Unisize,Unisize,300,1,Road,24,L,W,LL Road Handlebars,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAPgAAADLCAMAAAB04a46AAABC1BMVEX///8AAAAVFRMTExHCwsIRExITExPGxsbo6Oj7+/vz8/MQEA739/fZ2dnt7e3Nzc3i4uLT09MYGBh2dnS8vLyxsbFcZGlwcHBUVFR+fn2jo6M8PDseHhyFhYWVlZWvr6+enp5HR0clJSQcHBwfHxsPEAk2NzJlZWQwMjFLUFV+iJEzODyXpK+hrblxeoA+QkYAAAXQ4uuxv8oFERQICAAcHRQqKyY8PTctLzNfZnFOTkxjZF9cWVhtdnyOmaWltsWfsLdGSk8VGiAYEwkkIyjM1dzM19zW5+28zthtcn7t9v1TXmi1v8m1xNdJTVaPlprg8/rn/P8jJzJebXLK2+3W5PZ7h5UwOEK4yMriBLbGAAAK6klEQVR4nO2cC1vayhaGWQHCZeQWINzCLTElgZAIzW7RAwhuUQp0Y7e2u///l5w1wVZt6alogLDPvA8B5QmZWfPNZc3KTHw+BoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYD",Unique shape provides easier reach to the levers.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,2,,USA,All items,3,4,2,2,56,,2012
